,min (ms),,,max ,,,avg ,
,5g ,4g ,,5g,4g,,5g ,4g
idle ,27,35,,80,78,,52,46
video Streaming,23,34,,155,590,,60,68
video call,24,33,,88,113,,42,44
Gaming,25,34,,69,67,,45,43
Download ,25,40,,420,600,,92,165
